[DEBUG-VA-CONT] Continuous Simulation (V_READ_TH=0.6 기준)
Smooth Params: V_read=0.1, Hyst=0.1
LOG t=2.200000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.016849e+02 I_raw=0.000000e+00 I_lpf=0.000000e+00 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=2.300000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.017581e+02 I_raw=0.000000e+00 I_lpf=0.000000e+00 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=2.400000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+199.3629 W_targ=1.0000 W_next=1.0000 | R=1.018314e+02 I_raw=0.000000e+00 I_lpf=0.000000e+00 | alpha=+0.9770 logHr=+9.4179 logLr=-5.9570
LOG t=2.500000e-08 V=+0.000000 dV=+0.000000 | gate_W=0.0000 | r_ref=+194.8618 W_targ=1.0000 W_next=1.0000 | R=1.019037e+02 I_raw=1.624599e-18 I_lpf=8.122995e-19 | alpha=+0.9662 logHr=+9.4166 logLr=-5.8905
LOG t=2.600000e-08 V=+0.050000 dV=+0.050000 | gate_W=0.0000 | r_ref=+77.0071 W_targ=1.0000 W_next=1.0000 | R=1.020499e+02 I_raw=4.906512e-04 I_lpf=2.453256e-04 | alpha=+0.6841 logHr=+9.3953 logLr=+7.5929
LOG t=2.700000e-08 V=+0.100000 dV=+0.050000 | gate_W=0.0000 | r_ref=+67.7927 W_targ=1.0000 W_next=1.0000 | R=1.024393e+02 I_raw=9.798686e-04 I_lpf=6.125971e-04 | alpha=+0.6620 logHr=+9.3849 logLr=+7.7656
LOG t=2.800000e-08 V=+0.150000 dV=+0.050000 | gate_W=0.0001 | r_ref=+58.1774 W_targ=1.0000 W_next=1.0000 | R=1.034711e+02 I_raw=1.464103e-03 I_lpf=1.038350e-03 | alpha=+0.6390 logHr=+9.3695 logLr=+7.8982
LOG t=2.900000e-08 V=+0.200000 dV=+0.050000 | gate_W=0.0003 | r_ref=+48.1561 W_targ=1.0000 W_next=1.0000 | R=1.061834e+02 I_raw=1.932266e-03 I_lpf=1.485308e-03 | alpha=+0.6150 logHr=+9.3462 logLr=+7.9988
LOG t=3.000000e-08 V=+0.250000 dV=+0.050000 | gate_W=0.0009 | r_ref=+37.7287 W_targ=1.0000 W_next=1.0000 | R=1.132237e+02 I_raw=2.352301e-03 I_lpf=1.918804e-03 | alpha=+0.5900 logHr=+9.3098 logLr=+8.0745
LOG t=3.100000e-08 V=+0.300000 dV=+0.050000 | gate_W=0.0025 | r_ref=+26.9057 W_targ=1.0000 W_next=1.0000 | R=1.311261e+02 I_raw=2.643171e-03 I_lpf=2.280988e-03 | alpha=+0.5641 logHr=+9.2505 logLr=+8.1310
