[DEBUG-VA-CONT] Hybrid Logic (V_FILTER=0.01, V_READ_TH=0.6)
VALID t=1.000000e-07 V=-0.250000 | gate_W=0.0009 | r_ref=+157.5208 | R=2.234633e+02 I=-1.1663e-03
VALID t=1.010000e-07 V=-0.300000 | gate_W=0.0025 | r_ref=+157.4989 | R=2.490163e+02 I=-1.3393e-03
VALID t=1.020000e-07 V=-0.350000 | gate_W=0.0067 | r_ref=+157.4682 | R=3.188679e+02 I=-1.3963e-03
VALID t=1.030000e-07 V=-0.400000 | gate_W=0.0180 | r_ref=+157.4561 | R=5.074499e+02 I=-1.2325e-03
VALID t=1.040000e-07 V=-0.450000 | gate_W=0.0474 | r_ref=+157.5935 | R=1.000890e+03 I=-8.4669e-04
VALID t=1.050000e-07 V=-0.500000 | gate_W=0.1192 | r_ref=+158.3110 | R=2.194120e+03 I=-4.4542e-04
VALID t=1.060000e-07 V=-0.550000 | gate_W=0.2689 | r_ref=+160.5385 | R=4.589679e+03 I=-1.9658e-04
VALID t=1.070000e-07 V=-0.600000 | gate_W=0.5000 | r_ref=+164.9282 | R=7.886917e+03 I=-9.2188e-05
VALID t=1.080000e-07 V=-0.650000 | gate_W=0.7311 | r_ref=+169.9580 | R=1.035259e+04 I=-6.4368e-05
VALID t=1.090000e-07 V=-0.700000 | gate_W=0.8808 | r_ref=+173.5933 | R=1.121229e+04 I=-6.2485e-05
VALID t=1.100000e-07 V=-0.750000 | gate_W=0.9526 | r_ref=+176.0466 | R=1.138320e+04 I=-6.5887e-05
VALID t=1.110000e-07 V=-0.800000 | gate_W=0.9820 | r_ref=+178.0400 | R=1.144824e+04 I=-6.9880e-05
VALID t=1.120000e-07 V=-0.850000 | gate_W=0.9933 | r_ref=+179.8134 | R=1.150194e+04 I=-7.3901e-05
VALID t=1.130000e-07 V=-0.900000 | gate_W=0.9975 | r_ref=+181.4263 | R=1.155068e+04 I=-7.7917e-05
VALID t=1.140000e-07 V=-0.950000 | gate_W=0.9991 | r_ref=+182.9031 | R=1.159529e+04 I=-8.1930e-05
VALID t=1.150000e-07 V=-1.000000 | gate_W=0.9997 | r_ref=+184.2596 | R=1.163625e+04 I=-8.5938e-05
VALID t=1.160000e-07 V=-1.050000 | gate_W=0.9999 | r_ref=+185.5080 | R=1.167393e+04 I=-8.9944e-05
VALID t=1.170000e-07 V=-1.100000 | gate_W=1.0000 | r_ref=+186.6579 | R=1.170863e+04 I=-9.3948e-05
VALID t=1.180000e-07 V=-1.150000 | gate_W=1.0000 | r_ref=+187.7186 | R=1.174061e+04 I=-9.7951e-05
VALID t=1.190000e-07 V=-1.200000 | gate_W=1.0000 | r_ref=+188.6972 | R=1.177013e+04 I=-1.0195e-04
